stemmed,label
mantap amanah,positif
udah update sama saja gak ada beda koneksi gaada padahal kuota ada,netral
pertama applikasinya sangat bagus ribet sangat mudah guna dua driverbikers nya komunikatif sopan selalu nengutamakan selamat tumpang diri sendiri tiga tarif mahal mampu saing belah,positif
pesan gofood sekarang dapet driver nya lama bangetmohon sistem rubah seperti dulu cari driver bisa capetpesen mode reguler dapet driver menitniat pesan biyar capet sampai nunggu lama bangetmohon rubah sistem nya,netral
limit gopay pinjam u penguna baru kecil sekali cuma sampai k,netral
sudah blan gopaylater dibokir sdah bayar tepat wkt jga gak bisa pakai tapi limit tambah selesai masalah tdk ada solusi gak ada guna siiih,netral
gak jelas aplikasi tiba masa gojek gak bisa guna payahh padahal butuh banget,netral
oke bos,netral
saldo gapay later masih banyak tetapi status blokir tanpa pemberitahuan mau kasi bintang kayak niat percaya kasi percuma kasi tapi bisa guna,negatif
terimakasih,positif
susah akses,netral
gojek ngak usah kasih promo sampe discount kalau pesan driver ngak mau ambilaplikasi besar tapi profesional,netral
apl andal,netral
ko aplikasi gomart nya bisa pakai gopay latter padahal bayar selalu tepat waktu loh,netral
moga dapet bonuss banyak aamiin,netral
apk apa gue mau sen makan mala eror mulu,netral
peta citra garden puri seman tolong diupdate driver sering salah jalan buat tarif lebih tinggi mutar,netral
mantap,positif
sudah hampir tahun gopaylater beku blokir chat cs sudah gak hitung tetep aja akhir cuma cara uninstal,negatif
tiba saja hanya ganti hp gopaylater jaman awal transaksi hnya kena biaya x tnpa bunga smpai migrasi akhir kena bunga hari belum ganti hp tagih sudah bayar penuh pdahal tgl jatuh tempo msih tanggal mnggu depan,netral
kirim barang go send anter anter go ride pergi jauh go car makan cepet go food semuuaaaa gojekin ajaaa,netral
kenapa habis diupdate fitur lihat voucher gofood gak ada,netral
thank you moga akun ku banyak promo gofood lebih besar lagi,netral
overall bantu gera lewat goride atau gocar hanya saja driver pasti mau ambil kalo pilih pake gocar atau goride hemat padahal tambah voucher ringan sekali bagi sering juga andal gosend bisnis percuma baik one system aja gak usah pilih pilh kayak gitu customer udah neng tapi driver ndak ada mau ambil,positif
gotix nga ada lagi min,netral
great,netral
supirnya mau jawab apa yg kira tanya orgnya supel,netral
solusi banget saat ada waktu keluar rumah,netral
sangat bantu,positif
not yo bad,netral
aplikasi ada pilih gocar hemat tapi percuma udah dapet driver cancle terus sampe kali efektif gocar hemat apk,netral
respon cepat,positif
sangat bantu mudah pesa,positif
sangat manfaat sekali saat butuh dalam ada urgent,netral
kenapa sih harus update lg ky mau ambil kota,netral
top,positif
tambah parah ni aplikasi jaring ada bagustpi gagal terusktnya ada sinyalaneh,netral
mantap,positif
layan bagus bagus,positif
terima kasih gojek,positif
gila sihh beli air kelapa ijo doang nunggu menit mana tuh toko kelapa jarak rmh cuma km doangterus sy sudah nunggu menit dibatalin coba bikin orang naik darah aja mana sekarang makin jelas gojek kalo mau cepet sampe harus nambah ongkir kaya dulu satsetsumpah buka makin bagus malah makin buruk layan,netral
errornya gak kelarmo isi pulsa aja susahkebanyakan fiturtiba aja gak bisa pakai gopay latter buat beli pulsa padahal belum bisa pakai buat beli token listrik,negatif
ok,netral
mentew bro,netral
kebon jeruk xviickel mapharkec taman sari jkt barat,netral
dapat driver lebih waktu tentu terlalu lama,netral
buruk sekali bagi guna aplikasi sumpah sampah banget pesan nyampe drivernya jga ada potong saldo pula jangan download gojek mending grab apa maxim jelas parah uang hilang anngg gojek auuu,negatif
kecewa sama gojek sekarang apalagi gofoodny udah langgan gofood plus masih aja kena ongkir makin kesini makin gak jelas aja,negatif
bagus aplikasi,positif
gojek makin sini makin gila aja ni ngasih drever selalu yg jauh padahal drever yg dekat banyak mikir drever beli bensin pake duit sendiri kasi kan klo jemput jauh emang cara pikir kalian seperti apa ko selalu kasih drever yg jauh beda dgn grab,netral
oke,netral
mantap,positif
dapat limit gopaylater tapi bisa dipake ada notif gopay payletter blokir,negatif
sikap driver sabar dalam akurasi kirim alamat langgan go food,netral
gimana cara nya tf tapi lupa pin sama nomor telepon sudah kadaluarsa bagaimana cara nyaaaa moga balas,netral
good,netral
udah update sampe tak install kali tetep gabisa buka,netral
sangat bantu sekali kalo lagi hujan mager dadak ada tamu dsb,positif
alhamdulillahbisa andal dlm kondisi apapunbaik gojek n gofoodnya,positif
bagusmbatu terima aksih,positif
sangat bantu,positif
sanjay batu,netral
ok,netral
sangat bantu,positif
jos,netral
gojek sigap cepat aman n nyaman,positif
shiiip,netral
kerenn,netral
saduuuuuuuuuuu,netral
kenapa pas ufdate bisa buka,netral
mantap kasih tiap bulan donk promosi nya heheh,positif
pake gojek mau mana pun mudahsemoga lacar terussss,netral
knp haru yg baru lbh payah,netral
jelek banget sekarang aplikasi bisa aju gopaylater lagi apalagi gopinjam dulu padahal sudah pernah dapat gopaylater bintang saja habis waktu aja suruh nunggu udah nunggu pas coba ehh tolak lagi siapa lu,negatif
puas pakai gopay telah minggi sy rasa kecewa karna topuap indomaret uang g tau mna mask nya kata nya ada tabung jago telah sy cek g adasy email chat complin g ada tanggap,positif
mudah cepat,positif
mantap,positif
sekarang udah mahal ongkirnya trus ada biaya tangan tmbahan lain overall bagus sih cuman skg bnyak apk rupa yg bisa timbang biar lebih hemat utk guna yg sering seperti,positif
jangan terlalu sering minta update telah diupdate nyata ada ubah makan memori doang,netral
tiap beli lalu gofood selalu lama kendala makan sudah disiapka tapi driver sampai jam gak dapat pesan tdk bs batal alas pesan sdh masuk resto jd harus tunggu yg batal pihak sangat kecewa ajng bngt,negatif
watwetcak cek,netral
bagus sekali,positif
mantap,positif
good app,netral
lumayan sering ada promo gofood,netral
bagus sangat bantu,positif
bv bangun htgzjp,netral
dulu sudak sekian puluh kali update gopay plus gagal padahal sebelumya udah plus mau diupgrade gopay plus baru malah kembali premium pusing padahal aku guna layan goparter akujadi kacau balau akun goparter aku,netral
ada aju pijan gopay pinjam semua data minta sudah masuk tapi aju tolak benar nya masalah malah senang dgn tolak nya aju tapi tolong dgn sangat pihak gopaypinjam tolong hapus semua data yg sudah kirim kan,netral
biaya tangan maksdnya apa aku mo pesan minum gofood kena biaya tangan rb padahal minum cuma rb,netral
mantap,positif
great application,netral
mantap pakai gojek gocar sering promoterima kasih gojekgocar,positif
please gopaylater bisa bayar tagih belum jatuh tempo kayak dulu dong sebel banget mau bayar tagih nunggu japo dulu,netral
lancar saja,positif
jujur klo urus ojek online gojek the best cepat ramah kerapihan pakai sama attitude paling penting oke banget deh gojek,positif
kenapa telah diupdate ulang kali direspon saat buka,netral
status pesan gofood stuck udah coba pakai wifi data sama aja padahal internet lancar buat youtube dll udah coba restart hp sama aja aplikasi udah baru chat cs yg jawab bot sangat recommended udah lewat estimasi loh hampir jam nunggu estimasi menit,positif
mantap selalu ikan baik buat langgan,positif
bagus,positif
aplikasi taiiii mw masuk aja susah bngat kya kontoooolll,netral
smoga depan bisa lebih baik lagisukses,positif
mantab,netral
langgan n potong or discountnya maya buat order kpepet,netral
makin mahal aja dibandingin beli langsung restonya sama beli aplikasi beda banyak,netral
satsetsatset,netral
bgs apk nya cuma tolng baik lg mau masukin kode otp aja lma banget,positif
driver gocarnya gblk,netral
bagus,positif
bagus,positif
suka banyak promo,positif
masa titik jemput gocar selalu ngaco padahal sdh sesuai titik sampai sudah share lokasi masa bisa jemput ny sampai jauh banget titik tol baik bikin driver susah saja maaf ksh bintang,positif
jauh lama guna aplikasi ada masalah baik saat mes tranportasi online maupun mes makan,positif
ok,netral
ok,netral
mohon maaf iklanya rang,netral
gopaylater kena blokir hahah,negatif
tres telah update makin parah,negatif
sangat suka,positif
gimana nih aplikasi parah nyuruh update telah turut update sekarang g bisa terkoneksiparah,negatif
mantaap,netral
sangat bantu,positif
tarif jangan makin mahal donk,netral
kenapa telah update malah bisa pakai fitur go pay,netral
aplikasi terkadang sangat butuh,netral
terima kasih sangat bantu sekali,positif
makin lama sekarang gofoodnya kaya udah g cepat dulu tambah ada option tambah mau express atau reguler macem ajah yg reguler hampir jam keburu dingin yg paling utama keburu laper,positif
aplikasi keluar sendiri padahal udah update udah uninstal terus instal ulang tapi tetep kek begitu jelek nih aplikasi,negatif
good job,netral
gojek memang the best,netral
mantappp,positif
ahayde,netral
transfer uang gopay bank tera sudah kirim tapi belum masuk rekening mohon konfirmasi tindak lanjut,netral
buruk,negatif
kenapa si skrng gojek jeda wkt tunggu nya lama banget kaya app belah pdhl toko nya info klo sen sudah kelar app bilang masih dsiapkan tunggu menit lg ad beda nya sama app belah pdhl harga nya lebih mahal,netral
lagi lagi jadi gopay gua ilang lagi baru juga gua top up gua tinggal hari belum gua beli in apa apa tadi gua top up saldo gopay k sekarang pas gua mah beli barang online shop pas liat saldo tinggal k tau dah tuh ilang berapa males ngitung gua sudah dua kali hilang uang pertama sudah gua ikhlas kan sudah kali nya dah gua males nyimpen duit banyak gopay mending dana sekian gua kecewa sama apk,netral
terima kasih sudah antar jemput,positif
mohon tingkat lg sistem,netral
aplikasi yg tdk mau terima keluh customernya mau lapor sulit aplikasi sampah,positif
edit jaring bagus aplikasi sudah versi baru namun masih error mesan gojek bisa namun gofood bisa tulis error gps sudab aktif sama kadang kalp agak jauh muncul location not serviceable nah tolong luas lg jangkau ny gojek bisa knp gofood,netral
manfaat sekali,netral
ok sudah benah,netral
ok,netral
apa dah sen gofood biaya layan sampe rb pdhl ongkir bawah k an,netral
aplikasi baik,positif
bagus top,positif
bantu banget poko,positif
sementara aman kendali,netral
oke langsung saja gass,netral
joseee,netral
maps gojek eror gajelas kasihan bapak drivernya,netral
selalu puas sm gojek moga makin bagus lg depan,positif
aplikasi gojek pering dong android lollipop os versi,netral
bisa batalin klo order gofood sat knapa skrang lama banget si gofood nya psen makan aja satu tengah jam tolong gojek baik lagi jgan lama banget ky gin kburu lapernya ilang tlol,positif
mayan guna,netral
stelah d baru aplikasi kenapa jd bobrok bukan tambah d baik malah gak bs buka trs resard ulang trus,positif
aplikasi sangat bagus mau apa aja lengkap mulai makan tranportasi sampai pindah kost juga ada sedia mobil nya pokok gojek luar biasa,positif
ngbantu sekali,positif
aplikasi kepake,netral
knpa bayar gopinjam tapi potong tagih nya padahal bca nya hasil,netral
sangat bantu,positif
susah banget dapet driver kalo gosend pake samday tolong hapus aja opsi kirim samday nya driver males ngambil order,netral
recommended aplikasi,netral
sangat baik,positif
baik,positif
mntaap lanjut promonya,netral
tolong yah buat gofood ain uang receh biar ada kembali cepetin dapet driver nya soal gua nunggu menit apa mau mati orang nunggu nya,netral
bagus profesional,positif
bisa iklan ny gojek laku saja si aplikasi gojek tiap buka wa iklan nya selalu lewat mebuat nyaman aplikasi lain juga tiap buka selalu masuk iklan gofood,netral
kenapa habis diupred kk malah bisa buka,netral
sangat mudah dalam guna,netral
bagus,positif
gak adil banget jek gw sering order pernah kasih vocer kalaupun kasih vocer pun masuk akal harus belanja atas k baru dapat potong k heran kawan yg jarang order malah sering kasih vocer potong bahkan recomend banget jeksumpah,netral
welcome back harap gojek konsisten bisalebih perhati langgang lama,netral
goride ada promo apasih kode prominyab,netral
sip bagus,positif
good,netral
jauh nyaman aman pakai gojek walaupun apk suka minta diupdate huhuh tapi baguss ko luv,positif
mantap,positif
tepat waktu cepat,positif
mantap,positif
gojek maikin parahtitik lokasi maps mana gps mana gak sesuai tolong lebih perhati,negatif
telah update hp kentang kyk punya aku gak bisa pake gojek lg keluar sendiri,netral
saat hujan sangat susah dapat driver,netral
mohon kongirmasinya buat gojek iniknp pas sudah update tapi malah makin rusak tiap x buka aplk ny malah bisajd kecewa sekrang,negatif
aplikasi degan tarif mahalmasih mending maxim harga murahsaya klo transportasi pk maxim doang,netral
sen gofood udah ti driver otomatis tiga kali terus dibatalin sistem padahal udah nunggu hampir jam gak ada solusi lain apa selain ngerugiin customer,netral
gopay later malah blokir padahal selalu bayar belum jatuh tempo parah bener,negatif
good job,netral
sat set sat set cepat,positif
mudah erti,netral
aplikasi tolol daftar paylater udah lama limit rb sampe jt sekarang gapernah telat bayar selalu transaksi pakai gopaylater pas mau beli pulsa malah blokir gopaylater padahal cuma mau beli pulsa gapernah telat bayar beli pulsa doang blokir emang dasar aplikasi sampah tolol idiot masih ada tagih gopaylater rb tadi mau bayar cuma udah blokir gitu males amat gua bayar bodoamat kaga bakal gua bayar sumpah,negatif
kenapa telah update enggak dapat cash back padahal udah pakai promo beli paket data rp promo dapat cashback rp tapi masuk cashback nya kenapa gitu,netral
maksud opo cak ngomong kangen nak pipiii,netral
ok,netral
ok,netral
sangat bantu,positif
woiii knp anj banyak banget iklanya mau masuk aplikasi apa ada iklan aplikasi gojek bab,netral
tiga dulu apl sering sulit akses,netral
ulas ganti paylater fungsi,netral
gojek apa dahtadi waktu milih promo masih ada gilir udah top up tiba promo hangus gajelas banget,positif
keren,netral
nuhun,netral
gada mode pilih bayar lain cuma gopay ama tunai ajh,netral
akun saldo gopaynya hilang ngk ada bikin pesananjam pas sore buka akun gojek buat bayar belanja alfa nyata saldo udah kurang aja rb pesan gojekini bukan soal nominal tapi cara apa apan kayak gin ngak terima kirim ewallet juga lama sudah tunggu satu hari bayar x jual apk punya customer service apa bagaimana beda sama ewallet baik lain,positif
jemput kadanglama kadangcepet kendala cuma waktu pagi aja terkadang susah dapat gojek skalinya dapet lama jemput,netral
gojek nya ramahdari mulai jemput sampai tempat tujuanpemilihan rute sangat baiksikap drivernya sopanpokoknya,positif
abis upgrade malah gak bisa pake gotransit nya payahhh,netral
ok,netral
bagus bisa pesan antar alamat beda,positif
kurang bintang sesuaigop pinjam pertama lancar telah limit naik sayang bisa tariksecara bayar tepat waktu pernah telatbuat apa limit kasih naik kalau gabisa tarikkalau bisa tarik tambah lagi bintang,positif
sangat bantu belanja,positif
aplikasi mau bankrut bikin draver sengsara,netral
mantap bantu sekali,positif
sya puas pke gojek tolong utung para dever klo ad promo d ambil jngan bilang promonya abis karna ongkos murah,positif
makin hari makin kacau,netral
bintang bicara,netral
jos gandos,netral
sudah didownload malah dowload ulang lagipasnya didownload lamaaa sekali bahkan ulang ulang didownloaditu kenpa yah min,netral
sangat baik,positif
nice,netral
sangat batu sekali,netral
sngt bantu,positif
eror gak bisa buka,netral
sangat bantu mobilitas orang,positif
mantap,positif
jauh masih puas maka gojek semua perlu,positif
manfaat,netral
bagus cepat,positif
kenapa gopaylater bisa guna ada tulis blokir padahal limit masih ada tagih akhir pun sudah lunas dulu pernah begini semenjak alih mab pun denda telat bayar naik drastis hari ribu makin aneh aja,negatif
aplikasi bantu banget saat aku lagi gaada transportasi,positif
driver gojek tau haluan lalu lintasga ramahga sabaransuka nerobos malah nyenggol anak smk,positif
bagus kl sdh muncul aplikasi namun utk muncul kadang sulit,positif
rubah rating gara sistem gopay ngaco parah,negatif
cepet dapetnya,netral
mantap,positif
baik,positif
ko tiap mau buka aplikasi keluar sendiri terus udah coba install ulang juga tetep sama keluar sendiri terus aplikasi bisa guna,netral
mantap,positif
apk tolol masa engga bisa ngojek lokadi gw tolol banget,netral
sangat bantu,positif
sangat ramah baik,positif
gojek ok sekali,netral
promo kurang and terlalu mahal,netral
susah banget dapet driver kalo lagi ujan padahal depan mata sendiri drivernya lagi nongkrong,netral
good job,netral
mangkin update mangkin jelas limit gopay letter sedia tapi blokir apk aneh belum update malah aman aja,negatif
good application,netral
order gofood restoran sudah chat bahwa masakan sudah ready utk ambil tapi driver belum ada yg ambil kirim pesan harus sesuai estimasi kirim jadi harus nunggu lama padahal masakan sudah siap,netral
oke mantul,netral
sangat bantu terimakasih,positif
mantap brooo,positif
azzam,netral
banyak promonyaaa,netral
ada alam dapet driver sombong kasar kronologi mesan grabcar betul malem abis hujan jalan kotor becek pas driver sampe lokasi jemput ponakan buka pintu depan masuk kemudian driver nada tinggi bilang ponakan kaki kamu kotor mobil bersih sambil tangan bersih bangku tadi sudah duduk ponakan akhir kami naik mobil driver walaupun status sudah dalam jalan uang sudah driver,netral
lumayan promonya cuman sedikt yaa,netral
make everything easyerniceworkespecially the gocar,netral
good,netral
sen go food sama driver dicancel mulu sudah kali heran deh layan go food lama banget mentang mentang diskon kalo dibandingin mending dishope food sih mahal dikit tapi driver ny gercep,netral
parah pesan gak ada mau satu,negatif
lama pakai selalu tepat waktu jemput cuma titik jemput agak susah tentu kan lokasi sendiri,netral
good apk,netral
sangat bantu saat lapar,positif
harus hapus banyak main tapi tetap bisa didonwload emg mahal kah,netral
tolong lh atur hidup drivers,netral
kenapa aplikasi gojek bisa buat toko goshop ada pilih buat link,netral
aplikasi yg sangat bantu,positif
mantap,positif
mantap,positif
bagus keren keren,positif
bagus terima kasih,positif
ramah nyaman,netral
aplikasi yg simple mudah guna,netral
gojek kenapa peta sering ambil jalur mesti kadang mutar lebih jauh kadang lewat jalur belakang dapat jangkau tolong baik sudah sering jadi,positif
tahun gojek muas,netral
kami deteksi pakai biasa kenapa aplikasi gojek hp sy terahir tahun selalu begitu sampai hapus aplikasi gojek bisa guna alih lain sekarang download lagimasih tetap sama kami deteksi pakai biasa begitu terus tahun sampai sekarang kenapa,netral
sangat bantu sekali baik gojek gofood gocarr,positif
gofood makin lama makin susah dapat driver sampe jam g dapat pdhl udah pilih yg paling mahal kirim tetep aja g dapat restonya maka sampe kilo paksa batalin terus karna tau mau sampai kapan nunggu dapat drivernya,netral
ayo download grab,netral
sukses selau gojak,netral
so far so good keep up the good work,netral
gojek sangat manfaat bantu,positif
kurir bertanggungjawab jalan tugas hujanhujan tetap antar terima kasih layan,positif
fitur jemput bisa aplikasi rusak,netral
nikmat songkolo begadang sama gojek,netral
saat kenapa gopay later nya bisa guna,netral
bagus bgtt,positif
bagus tapi tolong ongkir nay jan,positif
permisi min tolong adain fitur rute dalam rumah dong kayak tolong ambilin remot bawah trs dianterin atas mohon min terimakasih,positif
sangat kecewa pas hujan mau ambil order,negatif
good,netral
temen ku top up kena refund tanpa alas,positif
kasihan sekarang ada gofood jarak dekat yg bayar cuma belum nunggu restonya lama atau tidakkadang antar sampai kilo lebihjujur kalau hitung mana cukup yauang jajan anak aja lebih rasa gojek per manusia dehpancasila abai oleh gojekyg pimpin gojek jg belum tentu hafal pancasila,netral
banyak promonyaa,netral
oke banget,netral
sangat bantu,positif
aplilasi gojek bisa buka guna,netral
sebenrnya langgan gojek tapi iklan tiap detik muncul hp sy sangat menggangu pihak gojek apakah harus uninstal aplikasi supaya iklan gojek masuk lagi hp,netral
aplikasi ampas masa habis pesan makan pake promo tapi keburu tutup rumah makan kartu promo hilang rugi banget minimal ngerti ekonomi guna bay,netral
ok,netral
bagus cepat,positif
mantap,positif
ok,netral
mantap aplikasi,positif
moga semak jangkau lamandau,netral
bagus cepat,positif
sangat bantu,positif
ok banget aplikasi,netral
lama pakai gojek bagus,positif
gopay ne maksud nya gimana apa kasih limit pay later kalau bisa guna bayar pernah telat ehhh pay later nya bisa pakek alias blokir agak lain memang aplikasi,negatif
sangat bantu,positif
ok,netral
ok banget,netral
history pakai apakah tanya puskesmas dekat sebentarsebentar updatesebentar lagi update,netral
masih yg baik,positif
apk keren gojek banyak diskon sukses,netral
poko mantappp,positif
wilayah rau masa tanjung redeb labanan gak adahadehhh cuman kota doangpdhl jga mau jalan keluar kota jga loh,netral
mantaaap,netral
assalamualaikum ka mengapa ngebug pdhl sdh versi baru sulit guna krna perlu dulu gojek apk bgus berpindh mengapa skrng jd sering ngebug pdhl kuota full tdk guna wifi tlong segera benar skrng install pun lama pendftrn pun lama segera baik buat tidk nyaman krna sush msuk aplikasi slalu kembali beranda kak trma ksh,positif
bagus,positif
tolong kasih driver jarak deket buset mah gua dapet drivernya tara indonesia mek,netral
respon sll lambat mapping rdk tepat,negatif
sangat bantu,positif
aman nyaman,netral
potong terlalu tinggi bagi driver,netral
sangat bantu sering sering adain promo,positif
good,netral
mantaap bro,netral
update melulu,netral
mentenen mulu ajggua mau beli pulsa masa gitu aja lamaaa,netral
recommended,netral
mantap,positif
maanntttaaabbssss,netral
nice,netral
map tolong dibenerin sesuai arah customer maupun drivernya jd sering masalah sy sering cancel cara pihak krn problem overall drivernya bagus gercep aplikasi sudah bagus tapi klo dukung system yg bagus akan rusak juga terima kasih,positif
